id,label,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering
16327,,11,4,3,7,4,3,7,8,0.255514,0.266465,224.359081,0.466667
27325,,11,1,0,1,1,0,1,0,0,0,0,0
751,,15,116,110,226,116,110,226,7,0.309333,0.328708,2919280.493464,0.037803
6449,,11,28,24,52,28,24,52,8,0.288534,0.303782,268401.157376,0.099734
1173,,11,46,27,73,46,27,73,8,0.290448,0.30541,390392.700576,0.106832
15337,,11,12,9,21,12,9,21,8,0.280499,0.293176,132911.510709,0.115789
28334,,11,1,0,1,1,0,1,0,0,0,0,0
26598,,11,3,3,6,3,3,6,8,0.25215,0.262334,3560.48508,0.55
25899,,11,2,3,5,2,3,5,8,0.25216,0.262356,8735.052751,0.666667
11288,,11,198,135,333,198,135,333,7,0.312579,0.335508,4395106.961506,0.039582
27858,,11,3,3,6,3,3,6,8,0.252153,0.262343,25974,0.666667
23550,,11,3,3,6,3,3,6,8,0.252153,0.262338,43.831324,0.5
6609,,11,11,9,20,11,9,20,8,0.278433,0.291467,146727.30749,0.099415
24984,,11,6,7,13,6,7,13,8,0.257876,0.268606,13236.648631,0.204545
26968,,11,4,4,8,4,4,8,8,0.251483,0.261644,33899.979435,0.357143
30071,,11,7,0,7,7,0,7,0,0,0,0,0.309524
30082,,11,2,0,2,2,0,2,0,0,0,0,1
395,,7,282,16,298,282,16,298,7,0.30416,0.320303,2089939.583591,0.052444
14165,,11,31,17,48,31,17,48,8,0.2806,0.294184,288729.576644,0.141536
30420,,11,2,0,2,2,0,2,0,0,0,0,1
3142,,5,40,92,132,40,92,132,7,0.308886,0.329732,704465.649905,0.093762
30604,,11,1,0,1,1,0,1,0,0,0,0,0
145,,8,166,328,494,166,328,494,7,0.356844,0.385308,7663225.730216,0.045497
7,,0,178,88,266,178,88,266,7,0.299896,0.318872,4520059.983963,0.022354
16183,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
21004,,11,6,5,11,6,5,11,8,0.252386,0.26267,54966.662465,0.25
11296,,11,33,13,46,33,13,46,8,0.259805,0.271852,273695.198072,0.074332
120,,8,121,41,162,121,41,162,8,0.29506,0.311871,753186.144676,0.085979
30894,,11,2,2,4,2,2,4,8,0.251456,0.261542,1.4584,0.666667
26629,,11,1,6,7,1,6,7,8,0.25217,0.262436,22877.734332,0.333333
27241,,11,1,2,3,1,2,3,8,0.252143,0.262299,0,1
26027,,11,1,2,3,1,2,3,8,0.253395,0.263931,0,1
32862,,11,1,0,1,1,0,1,0,0,0,0,0
26867,,11,15,13,28,15,13,28,8,0.251937,0.262893,166847.628879,0.112648
16470,,11,3,4,7,3,4,7,8,0.251426,0.261589,4959.055742,0.5
25647,,11,1,2,3,1,2,3,8,0.251389,0.261488,14484.922772,0.5
2549,,11,36,37,73,36,37,73,8,0.276938,0.292712,482280.226346,0.070673
25804,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
13244,,11,7,9,16,7,9,16,8,0.266518,0.279232,37504.304661,0.269231
27257,,11,3,1,4,3,1,4,8,0.251375,0.261439,0,0.666667
24833,,11,24,6,30,24,6,30,8,0.252617,0.262913,60100.635148,0.093846
33887,,11,2,0,2,2,0,2,0,0,0,0,1
33401,,11,3,2,5,3,2,5,8,0.251379,0.261466,463.841258,0.25
32833,,11,3,1,4,3,1,4,8,0.251375,0.261439,0,1
21269,,16,3,1,4,3,1,4,9,0.21976,0.22636,1394.853528,0.333333
7259,,11,55,30,85,55,30,85,7,0.29345,0.309064,472372.101001,0.124685
34511,,11,1,0,1,1,0,1,0,0,0,0,0
408,,11,88,55,143,88,55,143,7,0.293702,0.312025,1490091.11043,0.05668
25742,,11,2,3,5,2,3,5,8,0.251392,0.261519,25978.436045,0.5
20573,,11,2,4,6,2,4,6,8,0.25476,0.265275,2907.992908,0.2
34871,,11,2,0,2,2,0,2,0,0,0,0,1
752,,11,23,0,23,23,0,23,0,0,0,0,0.106719
34917,,11,111,75,186,111,75,186,7,0.301221,0.319055,2285759.94524,0.018486
26400,,11,2,2,4,2,2,4,8,0.251382,0.261475,12986.5,0.5
15670,,11,7,7,14,7,7,14,8,0.256979,0.268388,2888.92778,0.340909
18386,,11,1,0,1,1,0,1,0,0,0,0,0
19052,,11,1,0,1,1,0,1,0,0,0,0,0
2,,16,2,19,21,2,19,21,8,0.28117,0.294744,10395.821989,0.147619
475,,8,34,44,78,34,44,78,8,0.287437,0.303091,306289.240246,0.064588
23,,8,276,116,392,276,116,392,7,0.328116,0.349785,3338250.252091,0.051182
36,,7,953,4,957,953,4,957,8,0.25009,0.258688,2615131.036263,0.014685
7180,,9,595,29,624,595,29,624,8,0.227772,0.236403,6032646.891384,0.002161
2910,,10,27,2,29,27,2,29,8,0.25851,0.269748,31331.841171,0.167488
10607,,16,3,0,3,3,0,3,0,0,0,0,0.166667
380,,5,162,62,224,162,62,224,8,0.297226,0.314779,1760036.478326,0.052907
770,,8,41,20,61,41,20,61,7,0.301815,0.317756,330414.003333,0.073064
1516,,7,14,2,16,14,2,16,10,0.173055,0.176243,1055.802701,0.029167
11951,,16,3,0,3,3,0,3,0,0,0,0,0
288,,8,148,16,164,148,16,164,8,0.296739,0.312603,554296.138448,0.073248
485,,5,77,143,220,77,143,220,7,0.324368,0.345949,2098934.994496,0.046563
1275,,16,140,62,202,140,62,202,8,0.294308,0.312722,2031498.162592,0.052556
596,,5,44,36,80,44,36,80,8,0.287833,0.303834,504157.090516,0.125961
9110,,16,2,0,2,2,0,2,0,0,0,0,0
201,,0,4,1,5,4,1,5,9,0.21495,0.221357,332.09936,0.2
219,,0,5,4,9,5,4,9,8,0.230988,0.239351,1527.896521,0.178571
220,,0,2,1,3,2,1,3,8,0.228929,0.236634,18826,0
221,,0,1,3,4,1,3,4,8,0.230175,0.238335,102.105408,0.333333
268,,0,2,9,11,2,9,11,8,0.246079,0.256001,31607.48259,0.233333
652,,0,1,0,1,1,0,1,0,0,0,0,0
851,,0,76,36,112,76,36,112,8,0.267445,0.280909,1210445.560805,0.024325
2500,,0,10,13,23,10,13,23,8,0.237927,0.247436,285945.206759,0.038012
2596,,0,9,1,10,9,1,10,9,0.22397,0.230989,1124.573753,0.277778
1104,,0,7,4,11,7,4,11,8,0.233183,0.241355,19259.965858,0.277778
2060,,0,6,16,22,6,16,22,8,0.274916,0.287501,75617.254491,0.131579
715,,5,8,10,18,8,10,18,8,0.258149,0.269765,38162.252249,0.136029
5140,,11,7,0,7,7,0,7,0,0,0,0,0.261905
387,,0,27,4,31,27,4,31,8,0.23115,0.239421,40001.611614,0.116809
5783,,5,10,6,16,10,6,16,8,0.244786,0.254009,6406.526338,0.095238
6146,,0,1,0,1,1,0,1,0,0,0,0,0
6394,,0,3,7,10,3,7,10,8,0.24197,0.250238,4071.35041,0.444444
6925,,0,1,1,2,1,1,2,9,0.21495,0.221357,102.105408,0
6926,,0,1,1,2,1,1,2,9,0.21495,0.221357,102.105408,0
2539,,11,3,1,4,3,1,4,8,0.228929,0.236634,0,0.833333
6927,,0,2,1,3,2,1,3,8,0.228929,0.236634,1141.457295,0
1628,,0,30,22,52,30,22,52,8,0.286737,0.300709,192646.94186,0.106272
7019,,0,1,2,3,1,2,3,8,0.230172,0.238308,102.105408,0
1150,,0,13,4,17,13,4,17,8,0.228943,0.236731,53291.799413,0.195238
5817,,0,1,3,4,1,3,4,8,0.232039,0.239788,0,0.833333
7245,,0,1,0,1,1,0,1,0,0,0,0,0
7444,,0,1,2,3,1,2,3,8,0.228932,0.23666,0,1
2637,,5,28,13,41,28,13,41,8,0.26981,0.282866,262597.635,0.111538
121,,8,395,1,396,395,1,396,8,0.248246,0.257455,1285110.757562,0.02806
6853,,0,3,1,4,3,1,4,9,0.187753,0.192034,55.384399,0.5
3344,,0,8,4,12,8,4,12,8,0.231329,0.239635,1820.536336,0.218182
4494,,0,8,8,16,8,8,16,8,0.265274,0.277119,86951.36213,0.181319
2483,,0,1,5,6,1,5,6,8,0.230784,0.239128,26076.105408,0.4
2133,,0,34,20,54,34,20,54,7,0.298522,0.313816,315897.860805,0.080303
216,,0,29,24,53,29,24,53,8,0.266635,0.279769,295182.720128,0.098551
1401,,0,25,23,48,25,23,48,7,0.299844,0.316383,617697.701915,0.063063
6735,,0,2,3,5,2,3,5,8,0.2297,0.237622,29.350909,0.416667
197,,0,23,15,38,23,15,38,8,0.269262,0.281573,67598.810323,0.135484
6056,,0,9,5,14,9,5,14,8,0.229711,0.237692,93362.931311,0.133333
1784,,5,255,109,364,255,109,364,8,0.308098,0.327799,3405940.805265,0.048461
5012,,0,20,13,33,20,13,33,8,0.248099,0.257959,77210.476908,0.150769
12826,,0,54,1,55,54,1,55,9,0.202007,0.206974,155560.310392,0.055219
13137,,15,3,0,3,3,0,3,0,0,0,0,0.166667
2607,,0,5,8,13,5,8,13,8,0.241923,0.250808,20323.310313,0.145455
13668,,0,1,0,1,1,0,1,0,0,0,0,0
1860,,0,35,20,55,35,20,55,7,0.302392,0.318912,416022.898126,0.091755
3858,,0,3,2,5,3,2,5,9,0.189098,0.193341,10.497335,0.2
13023,,0,3,1,4,3,1,4,8,0.228929,0.236634,0,0.333333
15406,,0,1,1,2,1,1,2,8,0.228929,0.236634,0,0
16371,,0,1,3,4,1,3,4,8,0.229515,0.237336,0,0.666667
3006,,0,8,11,19,8,11,19,8,0.24418,0.253126,2482.443798,0.368132
2457,,0,3,8,11,3,8,11,8,0.232259,0.240638,2216.002574,0.255556
9248,,0,1,3,4,1,3,4,8,0.229728,0.23766,0,0.666667
10910,,0,2,2,4,2,2,4,8,0.22896,0.236699,0,0.666667
16372,,0,1,2,3,1,2,3,8,0.22896,0.236699,0,0.5
16373,,0,2,2,4,2,2,4,8,0.229627,0.237454,954.097872,0.333333
2255,,0,7,6,13,7,6,13,8,0.264842,0.276262,31669.678408,0.181818
2942,,0,7,9,16,7,9,16,8,0.230029,0.238158,767.422604,0.269231
340,,0,13,11,24,13,11,24,8,0.244974,0.254103,2396.767131,0.305147
9178,,0,6,12,18,6,12,18,8,0.274116,0.286425,24009.025881,0.316176
14116,,0,1,1,2,1,1,2,8,0.228929,0.236634,0,0
16374,,0,3,4,7,3,4,7,8,0.229868,0.237835,365.310411,0.333333
16375,,0,1,2,3,1,2,3,8,0.229485,0.23727,0,1
11036,,16,2,3,5,2,3,5,8,0.229639,0.237507,339.104865,0.25
117,,7,259,188,447,259,188,447,7,0.337154,0.361832,5195674.752426,0.057688
6102,,5,2,2,4,2,2,4,8,0.254767,0.264698,2101.46479,0.166667
11144,,0,2,5,7,2,5,7,8,0.235354,0.242552,14668.825041,0.566667
9670,,0,1,4,5,1,4,5,8,0.237549,0.246502,0,0.75
14486,,0,3,6,9,3,6,9,8,0.235243,0.243197,4.319048,0.392857
18962,,0,1,0,1,1,0,1,0,0,0,0,0
10399,,0,1,2,3,1,2,3,8,0.22901,0.236757,0,0.5
443,,7,374,150,524,374,150,524,7,0.323337,0.34623,6088646.169297,0.043085
4166,,0,8,8,16,8,8,16,8,0.239742,0.248264,44733.269413,0.119048
20374,,0,1,0,1,1,0,1,0,0,0,0,0
14939,,0,2,6,8,2,6,8,8,0.22908,0.236981,24286.051921,0.285714
706,,5,57,93,150,57,93,150,7,0.301946,0.320835,1451425.307386,0.05473
802,,16,37,15,52,37,15,52,8,0.277395,0.290188,362771.312195,0.059524
18570,,0,1,4,5,1,4,5,8,0.228979,0.236792,0,0.5
1520,,0,4,0,4,4,0,4,0,0,0,0,0.583333
5139,,11,8,8,16,8,8,16,8,0.242775,0.252645,71404.242424,0.131868
22617,,0,5,5,10,5,5,10,8,0.258365,0.269359,157928.793516,0.196429
23013,,0,2,0,2,2,0,2,0,0,0,0,0.5
24508,,0,2,1,3,2,1,3,8,0.228929,0.236634,0,1
7280,,0,7,5,12,7,5,12,8,0.230276,0.238595,135523.223502,0.133333
532,,0,179,25,204,179,25,204,8,0.250376,0.261778,1259752.6948,0.023891
307,,11,88,365,453,88,365,453,7,0.365036,0.395257,7841262.380812,0.032379
77,,7,295,219,514,295,219,514,8,0.326461,0.351208,7286338.850698,0.038251
23752,,0,1,2,3,1,2,3,8,0.229485,0.23727,0,1
